关于,about,内容的主题。,The subject matter of the content.,"CommunicateAction, CreativeWork, Event",Thing
简略,abridged,指示该书是否为精简版。,Indicates whether the book is an abridged edition.,Book,Boolean
摘要,abstract,简短描述。,An abstract is a short description that summarizes a CreativeWork.,CreativeWork,Text
加速时间,accelerationTime,将车辆从给定的起始速度加速到给定的目标速度所需的时间。,"The time needed to accelerate the vehicle from a given start velocity to a given target velocity.Typical unit code(s): SEC for secondsNote: There are unfortunately no standard unit codes for seconds/0..100 km/h or seconds/0..60 mph. Simply use ""SEC"" for seconds and indicate the velocities in the name of the QuantitativeValue, or use valueReference with a QuantitativeValue of 0..60 mph or 0..100 km/h to specify the reference speeds.",Vehicle,QuantitativeValue
接受的答案,acceptedAnswer,通常在“问题/答案”站点上被接受为最佳的答案。,"The answer(s) that has been accepted as best, typically on a Question/Answer site. Sites vary in their selection mechanisms, e.g. drawing on community opinion and/or the view of the Question author.",Question,"Answer, ItemList"
接受交易条件,acceptedOffer,订单中包含的要约，例如产品、数量、价格组合。,"The offer(s) -- e.g., product, quantity and price combinations -- included in the order.",Order,Offer
接受的付款方式,acceptedPaymentMethod,卖方接受的付款方式。,The payment method(s) accepted by seller for this offer.,"Demand, Offer","LoanOrCredit, PaymentMethod"
接受预订,acceptsReservations,指示食品企业是否接受预订。,"Indicates whether a FoodEstablishment accepts reservations. Values can be Boolean, an URL at which reservations can be made or (for backwards compatibility) the strings Yes or No.",FoodEstablishment,"Boolean, Text, URL"
访问代码,accessCode,交付所需的密码，PIN码或访问码（例如，从储物柜中获取）。,"Password, PIN, or access code needed for delivery (e.g. from a locker).",DeliveryEvent,Text
访问模式,accessMode,人的感官知觉系统或认知能力，通过它可以处理或感知信息。预期值包括：听觉，触觉，文本，视觉，colorDependent，chartOnVisual，chemOnVisual，diagramOnVisual，mathOnVisual，musicOnVisual，textOnVisual。,"The human sensory perceptual system or cognitive faculty through which a person may process or perceive information. Expected values include: auditory, tactile, textual, visual, colorDependent, chartOnVisual, chemOnVisual, diagramOnVisual, mathOnVisual, musicOnVisual, textOnVisual.",CreativeWork,Text
足够访问模式,accessModeSufficient,足以理解资源所有知识内容的单个或组合accessMode的列表。期望值包括：听觉，触觉，文字，视觉。,"A list of single or combined accessModes that are sufficient to understand all the intellectual content of a resource. Expected values include:  auditory, tactile, textual, visual.",CreativeWork,ItemList
可访问性API,accessibilityAPI,指示资源与引用的可访问性API兼容（WebSchemas Wiki列出了可能的值）。,Indicates that the resource is compatible with the referenced accessibility API (WebSchemas wiki lists possible values).,CreativeWork,Text
可访问性控制,accessibilityControl,标识足以完全控制所描述资源的输入法（WebSchemas Wiki列出了可能的值）。,Identifies input methods that are sufficient to fully control the described resource (WebSchemas wiki lists possible values).,CreativeWork,Text
可访问性,accessibilityFeature,资源的内容功能，例如可访问的媒体，替代方法和受支持的可访问性增强功能（WebSchemas Wiki列出了可能的值）。,"Content features of the resource, such as accessible media, alternatives and supported enhancements for accessibility (WebSchemas wiki lists possible values).",CreativeWork,Text
可及性危害,accessibilityHazard,所描述资源的特征对某些用户造成生理危险。与WCAG 2.0准则2.3有关（WebSchemas Wiki列出了可能的值）。,A characteristic of the described resource that is physiologically dangerous to some users. Related to WCAG 2.0 guideline 2.3 (WebSchemas wiki lists possible values).,CreativeWork,Text
可访问性摘要,accessibilitySummary,与其他可访问性元数据一致的，特定于可访问性特征或缺陷的人类可读摘要，但表达了诸如“存在简短描述但非视觉用户将需要长描述”之类的微妙之处或“存在简短描述且没有长描述是必要的。”,"A human-readable summary of specific accessibility features or deficiencies, consistent with the other accessibility metadata but expressing subtleties such as ""short descriptions are present but long descriptions will be needed for non-visual users"" or ""short descriptions are present and no long descriptions are needed.""",CreativeWork,Text
住宿类别,accommodationCategory,遵循房地产惯例的住宿类别，例如RESO（有关建议值，请参见PropertySubType和PropertyType字段）。,"Category of an Accommodation, following real estate conventions e.g. RESO (see PropertySubType, and PropertyType fields for suggested values).",Accommodation,Text
住宿平面图,accommodationFloorPlan,一些住宿的平面图。,A floorplan of some Accommodation.,"Accommodation, Residence",FloorPlan
帐户ID,accountId,付款将应用于的帐户的标识符。,The identifier for the account the payment will be applied to.,Invoice,Text
账户最低流入,accountMinimumInflow,每月必须支付的最低金额。,A minimum amount that has to be paid in every month.,BankAccount,MonetaryAmount
账户透支额度,accountOverdraftLimit,透支是指帐户达到零时从贷款机构获得的信贷的扩展。即使账户中没有资金，透支也可以使个人继续提取资金。基本上，银行允许人们借入一定数量的钱。,An overdraft is an extension of credit from a lending institution when an account reaches zero. An overdraft allows the individual to continue withdrawing money even if the account has no funds in it. Basically the bank allows people to borrow a set amount of money.,BankAccount,MonetaryAmount
责任人,accountablePerson,指定对CreativeWork负有法律责任的人。,Specifies the Person that is legally accountable for the CreativeWork.,CreativeWork,Person
